Benchmark,Dataset,Dimension,TimeLimit_s,TargetMakespan,Algorithm,Distance,Makespan,Fitness,Time_ms,Iterations,BeamExec,BeamImprove,Gap_percent,Feasible,Time_s_paper,Time_s_paper_ms,Time_diff_percent
GendreauDumasExtended,n40w200.002.txt,41,1200.0,402.0,SMA-Beam,393.0,402.0,402.0,391.0,399,0,0,0.0,1,51.8,51800.0,-99.24517374517374
GendreauDumasExtended,n40w200.003.txt,41,1200.0,408.0,SMA-Beam,407.0,408.0,408.0,14785.0,17199,17,0,0.0,1,48.11,48110.0,-69.26834337975473
GendreauDumasExtended,n40w200.004.txt,41,1200.0,426.0,SMA-Beam,424.0,426.0,426.0,1583.0,1799,1,0,0.0,1,24.35,24350.0,-93.49897330595482
GendreauDumasExtended,n40w200.005.txt,41,1200.0,408.0,SMA-Beam,366.0,408.0,408.0,204.0,199,0,0,0.0,1,50.26,50260.0,-99.5941106247513
GendreauDumasExtended,n60w120.001.txt,61,1200.0,536.0,SMA-Beam,535.0,536.0,536.0,1123.0,799,0,0,0.0,1,68.94,68940.0,-98.37104728749637
GendreauDumasExtended,n60w120.002.txt,61,1200.0,606.0,SMA-Beam,597.0,606.0,606.0,894.0,599,0,0,0.0,1,96.68,96680.0,-99.07529995862639
GendreauDumasExtended,n60w120.003.txt,61,1200.0,541.0,SMA-Beam,515.0,541.0,541.0,632.0,399,0,0,0.0,1,40.41,40410.0,-98.4360306854739
GendreauDumasExtended,n60w120.004.txt,61,1200.0,607.0,SMA-Beam,580.0,607.0,607.0,1158.0,799,0,0,0.0,1,29.59,29590.0,-96.08651571476851
GendreauDumasExtended,n60w120.005.txt,61,1200.0,579.0,SMA-Beam,571.0,579.0,579.0,1174.0,799,0,0,0.0,1,70.92,70920.0,-98.34461364918218
GendreauDumasExtended,n60w140.001.txt,61,1200.0,596.0,SMA-Beam,454.0,596.0,596.0,23.0,0,0,0,0.0,1,54.8,54800.0,-99.9580291970803
